mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
4.960767825444539,0.08649433170619224,0.3016060988108317,0.020871693628872406,1.0,0.1,3,200,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.8485756900039871,0.8575099310365196,0.8394051715226605,0.848496930854389,0.007391446927199139,32
5.437817891438802,0.35706759273387456,0.7230473359425863,0.7111738329869208,1.0,0.1,3,200,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.8476601148899094,0.8420780601621454,0.8521493864170001,0.8472958538230183,0.004119661614467148,34
3.8040709495544434,0.7370418945353278,1.2371721267700195,0.7010619825272556,1.0,0.1,5,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.9282602596098468,0.9316715152768138,0.9260746932085001,0.9286688226983869,0.0023030844772578135,23
4.68703047434489,0.16445592782925159,0.23447775840759277,0.021834757477041875,1.0,0.1,5,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.9248637712834296,0.9256464403325605,0.9373274067073261,0.9292792061077719,0.005699900138196177,21
8.111831426620483,0.05499911965598535,0.3703044255574544,0.04497387471442228,1.0,0.1,5,200,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.9782477073703797,0.9807876899449178,0.9753237739415509,0.9781197237522828,0.002232469391777961,9
7.390617450078328,0.6744580825808683,0.2813539505004883,0.06888893190447302,1.0,0.1,5,200,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.9717943795501868,0.9783067767325783,0.9747478476601149,0.9749496679809599,0.0026625023125792366,11
4.496614933013916,0.14760350069118283,0.3375358581542969,0.028070656438471165,1.0,0.1,7,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.9882451969224862,0.9843761536984804,0.9830470930490128,0.9852228145566598,0.002204948514355026,7
4.4658801555633545,0.08863861574311474,0.31169430414835614,0.030746153615037238,1.0,0.1,7,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.9893970494853582,0.9877135726626992,0.9845090597634272,0.9872065606371615,0.002027462580987339,5
6.331535975138347,0.31529044204126105,0.38800660769144696,0.040312474924584854,1.0,0.1,7,200,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.9957027039000547,0.9942850392072892,0.9917745913138503,0.993920778140398,0.0016241986159567761,1
4.246633370717366,1.0832941353551508,0.2157448927561442,0.003160525535381051,1.0,0.1,7,200,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.9957174712406043,0.9944474799533352,0.9905636693887798,0.9935762068609065,0.0021923740531153368,2
